Date,CMCSA,VZ,TMUS,T,QCOM,QQQ,SPY,IXP,IYZ,IXTC
11/27/2013,22.795998,40.141731,25.575384,27.600969,63.070946,80.727318,164.099411,52.392048,25.480494,236.559998
11/29/2013,22.83721,39.892498,25.526314,27.445076,63.0881,81.210426,163.990738,52.307438,25.418262,236.669998
12/2/2013,22.493759,39.603077,25.997387,27.125494,62.968044,80.973633,163.564911,51.999794,25.195993,235.199997
12/3/2013,22.333481,39.876419,26.478275,27.078726,62.856598,80.907326,162.858231,51.79982,25.195993,235.789993
12/4/2013,22.383856,39.691513,26.419392,26.969599,62.745144,80.983086,162.840042,51.646011,25.169323,235.630005
12/5/2013,22.475443,39.321693,25.810921,26.696787,62.788017,80.878899,162.124329,51.438335,25.035965,233.619995
12/6/2013,22.562452,39.779942,25.840363,26.915037,63.242435,81.466217,163.936371,51.976723,25.267124,236.880005
12/9/2013,22.502918,39.852314,26.115156,27.039757,62.908039,81.79776,164.353134,52.199768,25.284903,237
12/10/2013,22.617403,39.434246,25.771666,26.813711,62.916611,81.740906,163.764191,52.007488,25.035965,236.399994
12/11/2013,22.28311,38.984028,25.575384,26.462948,62.599369,80.689438,161.925003,51.58448,24.787029,233.740005
12/12/2013,22.287687,38.694595,24.966913,26.416176,62.359295,80.481026,161.390427,51.330666,24.760357,231.289993
12/13/2013,22.443386,38.461449,27.126001,26.384995,62.230679,80.376831,161.372314,51.115311,24.938168,230.149994
12/16/2013,22.548717,38.799122,25.899246,26.618839,62.410748,80.822075,162.377991,51.522945,24.96484,232.839996
12/17/2013,22.461706,38.236351,26.183855,26.384995,62.522198,80.661011,161.861526,51.359097,25.089308,234.75
